house,wood,mean_percap,deviation
1,4.786749762,5.3079277065,-0.5211779444999998
1,5.202403542,5.3079277065,-0.10552416450000024
1,5.172864812,5.3079277065,-0.13506289449999986
1,6.06969271,5.3079277065,0.7617650034999999
2,4.601466898,4.77537889325,-0.17391199525000012
2,5.515436944,4.77537889325,0.7400580507500001
2,4.31742106,4.77537889325,-0.45795783325000006
2,4.667190671,4.77537889325,-0.10818822224999991
3,2.29721166,2.0159329492499998,0.2812787107500001
3,1.281819939,2.0159329492499998,-0.7341130102499998
3,3.180366444,2.0159329492499998,1.1644334947500004
3,1.304333754,2.0159329492499998,-0.7115991952499998
4,4.683673469,4.3704085785,0.31326489050000017
4,4.596589671,4.3704085785,0.22618109250000007
4,3.364972798,4.3704085785,-1.0054357805
4,4.836398376,4.3704085785,0.4659897974999998
5,3.021575334,2.8541519967499998,0.16742333725000025
5,2.406495356,2.8541519967499998,-0.44765664074999956
5,3.722501602,2.8541519967499998,0.8683496052500002
5,2.266035695,2.8541519967499998,-0.58811630175
6,2.048412146,3.032962242,-0.984550096
6,3.255703422,3.032962242,0.22274117999999987
6,3.294258373,3.032962242,0.26129613099999993
6,3.533475027,3.032962242,0.5005127850000002
7,3.301626689,2.5506911106666665,0.7509355783333334
7,1.764920495,2.5506911106666665,-0.7857706156666666
7,2.585526148,2.5506911106666665,0.034835037333333485
8,3.31748386,2.99842015575,0.31906370424999997
8,2.610800907,2.99842015575,-0.3876192487500001
8,4.289378938,2.99842015575,1.2909587822499997
8,1.776016918,2.99842015575,-1.2224032377499998
9,5.329660167,5.0799455917500005,0.24971457524999963
9,5.69266117,5.0799455917500005,0.6127155782499996
9,4.54787234,5.0799455917500005,-0.5320732517500009
9,4.74958869,5.0799455917500005,-0.3303569017500001
10,1.675100332,2.45724631225,-0.7821459802500002
10,2.486477055,2.45724631225,0.029230742749999816
10,2.642706131,2.45724631225,0.18545981875000006
10,3.024701731,2.45724631225,0.5674554187499998
11,2.426518595,2.5304611586666668,-0.10394256366666665
11,2.57406585,2.5304611586666668,0.043604691333333445
11,2.590799031,2.5304611586666668,0.06033787233333321
12,6.039376538,5.897248919333333,0.14212761866666668
12,6.770303527,5.897248919333333,0.873054607666667
12,4.882066693,5.897248919333333,-1.0151822263333337
13,2.264015019,1.913642871,0.35037214799999994
13,1.786317179,1.913642871,-0.12732569199999988
13,1.690596415,1.913642871,-0.22304645600000006
14,2.542159712,1.89273777,0.649421942
14,1.534078457,1.89273777,-0.3586593130000002
14,1.601975141,1.89273777,-0.29076262900000005
15,3.840498227,3.2193866603333334,0.6211115666666664
15,3.503516541,3.2193866603333334,0.2841298806666668
15,2.314145213,3.2193866603333334,-0.9052414473333332
16,2.60290544,2.2976225863333335,0.3052828536666663
16,1.726412032,2.2976225863333335,-0.5712105543333335
16,2.563550287,2.2976225863333335,0.2659277006666665
